run_id,env,profile,workload,intensity,replica,cpu_pct_avg,mem_rss_avg_kb,io_read_bytes,io_write_bytes,probe_p99_us,throughput,duration_s,timestamp
120,docker,mem-limit,cpu_stress,1,30,98.44,0,0,0,10407.87,2346,10,1780856701
121,host,none,cpu_stress,2,1,108.89,0,0,0,41950.19,871,10,1780856732
122,host,none,cpu_stress,2,2,99.79,0,0,0,35295.79,782,10,1780856742
123,host,none,cpu_stress,2,3,102.12,0,0,0,31612.08,891,10,1780856752
124,host,none,cpu_stress,2,4,99.61,0,0,0,42679.96,763,10,1780856762
125,host,none,cpu_stress,2,5,99.88,0,0,0,36079.79,829,10,1780856772
126,host,none,cpu_stress,2,6,107.34,0,0,0,34806.08,828,10,1780856783
127,host,none,cpu_stress,2,7,99.94,0,0,0,36466.09,779,10,1780856793
128,host,none,cpu_stress,2,8,99.99,0,0,0,33454.04,825,10,1780856803
129,host,none,cpu_stress,2,9,100.33,0,0,0,34816.33,812,10,1780856813
130,host,none,cpu_stress,2,10,99.39,0,0,0,50153.20,787,10,1780856824
131,host,none,cpu_stress,2,11,99.78,0,0,0,36960.99,735,10,1780856834
132,host,none,cpu_stress,2,12,99.98,0,0,0,36101.38,698,10,1780856844
133,host,none,cpu_stress,2,13,99.94,0,0,0,42844.97,855,10,1780856854
134,host,none,cpu_stress,2,14,100.33,0,0,0,33047.04,776,10,1780856865
135,host,none,cpu_stress,2,15,99.82,0,0,0,36086.06,711,10,1780856875
136,host,none,cpu_stress,2,16,100.22,0,0,0,34653.57,774,10,1780856885
137,host,none,cpu_stress,2,17,100.01,0,0,0,36891.65,668,10,1780856895
138,host,none,cpu_stress,2,18,99.27,0,0,0,40817.62,714,10,1780856905
139,host,none,cpu_stress,2,19,100.20,0,0,0,38053.85,765,10,1780856916
140,host,none,cpu_stress,2,20,99.52,0,0,0,36722.52,921,10,1780856926
141,host,none,cpu_stress,2,21,99.93,0,0,0,38691.32,915,10,1780856936
142,host,none,cpu_stress,2,22,100.21,0,0,0,37032.39,808,10,1780856946
143,host,none,cpu_stress,2,23,100.15,0,0,0,33789.24,825,10,1780856957
144,host,none,cpu_stress,2,24,100.05,0,0,0,36198.67,791,10,1780856967
145,host,none,cpu_stress,2,25,100.13,0,0,0,34247.94,805,10,1780856977
146,host,none,cpu_stress,2,26,100.11,0,0,0,32900.14,770,10,1780856988
147,host,none,cpu_stress,2,27,100.06,0,0,0,33318.36,836,10,1780856998
148,host,none,cpu_stress,2,28,100.03,0,0,0,35673.78,788,10,1780857008
149,host,none,cpu_stress,2,29,99.03,0,0,0,59263.71,887,10,1780857018
150,host,none,cpu_stress,2,30,99.90,0,0,0,33348.94,726,10,1780857028
151,docker,baseline,cpu_stress,2,1,97.84,0,0,0,65174.39,1024,10,1780857084
152,docker,baseline,cpu_stress,2,2,100.04,0,0,0,42065.56,801,10,1780857095
153,docker,baseline,cpu_stress,2,3,99.81,0,0,0,34673.67,771,10,1780857106
154,docker,baseline,cpu_stress,2,4,99.67,0,0,0,36487.61,839,10,1780857117
155,docker,baseline,cpu_stress,2,5,99.47,0,0,0,36481.99,689,10,1780857128
156,docker,baseline,cpu_stress,2,6,99.33,0,0,0,33974.79,709,10,1780857140
157,docker,baseline,cpu_stress,2,7,98.41,0,0,0,46417.71,866,10,1780857151
158,docker,baseline,cpu_stress,2,8,99.55,0,0,0,35589.07,758,10,1780857162
159,docker,baseline,cpu_stress,2,9,99.78,0,0,0,32893.87,830,10,1780857173
160,docker,baseline,cpu_stress,2,10,100.25,0,0,0,35885.86,815,10,1780857185
161,docker,baseline,cpu_stress,2,11,99.96,0,0,0,36196.91,828,10,1780857196
162,docker,baseline,cpu_stress,2,12,100.04,0,0,0,30375.63,826,10,1780857207
163,docker,baseline,cpu_stress,2,13,109.12,0,0,0,55454.98,810,10,1780857218
164,docker,baseline,cpu_stress,2,14,99.39,0,0,0,38616.24,731,10,1780857230
165,docker,baseline,cpu_stress,2,15,105.93,0,0,0,38198.28,751,10,1780857241
166,docker,baseline,cpu_stress,2,16,102.60,0,0,0,36504.71,783,10,1780857252
167,docker,baseline,cpu_stress,2,17,99.78,0,0,0,31266.52,760,10,1780857263
168,docker,baseline,cpu_stress,2,18,99.92,0,0,0,36551.79,728,10,1780857275
169,docker,baseline,cpu_stress,2,19,107.51,0,0,0,31746.86,842,10,1780857286
170,docker,baseline,cpu_stress,2,20,99.77,0,0,0,42481.21,862,10,1780857297
171,docker,baseline,cpu_stress,2,21,100.61,0,0,0,36325.12,669,10,1780857308
172,docker,baseline,cpu_stress,2,22,101.56,0,0,0,38896.62,821,10,1780857319
173,docker,baseline,cpu_stress,2,23,104.58,0,0,0,53700.61,812,10,1780857330
174,docker,baseline,cpu_stress,2,24,100.43,0,0,0,31030.05,844,10,1780857342
175,docker,baseline,cpu_stress,2,25,100.00,0,0,0,31581.71,814,10,1780857353
176,docker,baseline,cpu_stress,2,26,99.77,0,0,0,35537.13,858,10,1780857364
177,docker,baseline,cpu_stress,2,27,100.10,0,0,0,36745.28,727,10,1780857375
178,docker,baseline,cpu_stress,2,28,99.98,0,0,0,38061.43,792,10,1780857386
179,docker,baseline,cpu_stress,2,29,100.11,0,0,0,39772.25,740,10,1780857397
180,docker,baseline,cpu_stress,2,30,104.67,0,0,0,43287.88,880,10,1780857409
181,docker,cpu-limit,cpu_stress,2,1,91.15,0,0,0,46490.90,719,10,1780857464
182,docker,cpu-limit,cpu_stress,2,2,94.20,0,0,0,41279.91,715,10,1780857475
183,docker,cpu-limit,cpu_stress,2,3,74.81,0,0,0,94010.65,606,10,1780857486
184,docker,cpu-limit,cpu_stress,2,4,87.66,0,0,0,54882.05,720,10,1780857498
185,docker,cpu-limit,cpu_stress,2,5,94.18,0,0,0,53207.53,725,10,1780857510
186,docker,cpu-limit,cpu_stress,2,6,90.15,0,0,0,63285.36,681,10,1780857522
187,docker,cpu-limit,cpu_stress,2,7,95.23,0,0,0,41572.42,743,10,1780857533
188,docker,cpu-limit,cpu_stress,2,8,45.55,0,0,0,66467.30,783,10,1780857546
189,docker,cpu-limit,cpu_stress,2,9,88.14,0,0,0,35295.97,751,10,1780857557
190,docker,cpu-limit,cpu_stress,2,10,89.81,0,0,0,40391.91,678,10,1780857568
191,docker,cpu-limit,cpu_stress,2,11,92.74,0,0,0,65471.76,673,10,1780857580
192,docker,cpu-limit,cpu_stress,2,12,93.51,0,0,0,42340.40,780,10,1780857591
193,docker,cpu-limit,cpu_stress,2,13,79.03,0,0,0,52745.48,732,10,1780857602
194,docker,cpu-limit,cpu_stress,2,14,91.18,0,0,0,58371.55,646,10,1780857614
195,docker,cpu-limit,cpu_stress,2,15,93.76,0,0,0,57921.55,660,10,1780857626
196,docker,cpu-limit,cpu_stress,2,16,85.34,0,0,0,88246.02,579,10,1780857638
197,docker,cpu-limit,cpu_stress,2,17,88.87,0,0,0,65743.41,658,10,1780857650
198,docker,cpu-limit,cpu_stress,2,18,95.06,0,0,0,51779.78,687,10,1780857661
199,docker,cpu-limit,cpu_stress,2,19,95.35,0,0,0,37629.89,742,10,1780857673
200,docker,cpu-limit,cpu_stress,2,20,94.73,0,0,0,35447.41,798,10,1780857685
201,docker,cpu-limit,cpu_stress,2,21,94.48,0,0,0,40279.09,732,10,1780857696
202,docker,cpu-limit,cpu_stress,2,22,93.88,0,0,0,51774.34,682,10,1780857708
203,docker,cpu-limit,cpu_stress,2,23,88.29,0,0,0,36649.05,755,10,1780857719
204,docker,cpu-limit,cpu_stress,2,24,86.03,0,0,0,67133.16,689,10,1780857731
205,docker,cpu-limit,cpu_stress,2,25,92.25,0,0,0,40039.56,729,10,1780857742
206,docker,cpu-limit,cpu_stress,2,26,94.81,0,0,0,40955.48,759,10,1780857753
207,docker,cpu-limit,cpu_stress,2,27,93.80,0,0,0,37931.58,734,10,1780857764
208,docker,cpu-limit,cpu_stress,2,28,95.95,0,0,0,42414.19,795,10,1780857775
209,docker,cpu-limit,cpu_stress,2,29,96.06,0,0,0,39276.83,694,10,1780857788
210,docker,cpu-limit,cpu_stress,2,30,84.04,0,0,0,56097.19,700,10,1780857799
211,docker,mem-limit,cpu_stress,2,1,106.40,0,0,0,43111.19,771,10,1780857853
212,docker,mem-limit,cpu_stress,2,2,100.00,0,0,0,33335.26,780,10,1780857864
213,docker,mem-limit,cpu_stress,2,3,116.04,0,0,0,60575.82,966,10,1780857876
214,docker,mem-limit,cpu_stress,2,4,103.22,0,0,0,37990.47,817,10,1780857887
215,docker,mem-limit,cpu_stress,2,5,100.13,0,0,0,35468.41,822,10,1780857899
216,docker,mem-limit,cpu_stress,2,6,99.79,0,0,0,33088.48,804,10,1780857910
217,docker,mem-limit,cpu_stress,2,7,100.02,0,0,0,39123.67,724,10,1780857921
218,docker,mem-limit,cpu_stress,2,8,99.55,0,0,0,38819.15,826,10,1780857932
219,docker,mem-limit,cpu_stress,2,9,100.18,0,0,0,31053.62,850,10,1780857943
